	hek293t_1	hek293t_2	hela_1	hela_2
hsa-miR-642a-5p	154	107	27	15
hsa-miR-642b-3p	7	7	0	3
hsa-miR-642b-5p	11	4	1	0
hsa-miR-643	152	98	70	85
hsa-miR-6500-3p	51	33	4	5
hsa-miR-6500-5p	6	2	0	0
hsa-miR-6501-3p	0	0	2	1
hsa-miR-6501-5p	0	1	40	16
hsa-miR-6505-3p	9	7	13	17
hsa-miR-6505-5p	9	16	17	24
hsa-miR-6508-3p	1	0	2	0
hsa-miR-6508-5p	1	0	1	0
hsa-miR-6509-3p	21	8	8	0
hsa-miR-6509-5p	33	12	2	3
hsa-miR-651-3p	0	0	4	22
hsa-miR-651-5p	1	2	694	2085
hsa-miR-6510-3p	0	0	0	2
hsa-miR-6511a-3p	80	68	105	61
hsa-miR-6511a-5p	29	47	79	78
hsa-miR-6511b-3p	79	55	135	64
hsa-miR-6511b-5p	29	47	79	78
hsa-miR-6513-3p	1	2	5	12
hsa-miR-6513-5p	0	1	2	4
hsa-miR-6514-3p	5	8	3	8
hsa-miR-6514-5p	20	12	28	14
hsa-miR-6515-3p	36	27	45	39
hsa-miR-6515-5p	11	18	19	15
hsa-miR-6516-3p	36	23	27	53
hsa-miR-6516-5p	63	34	136	134
hsa-miR-652-3p	14551	16412	26508	20277
hsa-miR-652-5p	655	523	261	436
hsa-miR-653-3p	79	51	1	0
hsa-miR-653-5p	43	27	0	0
hsa-miR-654-3p	0	1	10	3
hsa-miR-654-5p	0	2	3	0
hsa-miR-655-3p	1	1	0	1
hsa-miR-656-3p	0	0	1	2
hsa-miR-658	1	2	0	0
hsa-miR-659-3p	7	15	24	14
hsa-miR-659-5p	15	37	51	32
hsa-miR-660-3p	739	684	185	548
hsa-miR-660-5p	10749	10401	5577	11180
hsa-miR-662	0	0	29	36
hsa-miR-663a	12	17	32	22
hsa-miR-663b	41	42	62	29
hsa-miR-664a-3p	167	134	337	197
hsa-miR-664a-5p	40	71	167	124
hsa-miR-664b-3p	23	16	78	57
hsa-miR-664b-5p	8	24	49	29
hsa-miR-670-3p	0	0	3	1
hsa-miR-671-3p	1107	1703	1838	1096
hsa-miR-671-5p	8178	13117	6330	14001
hsa-miR-6715a-3p	0	1	0	0
hsa-miR-6715b-3p	1	0	0	2
hsa-miR-6716-3p	5	3	26	26
hsa-miR-6716-5p	0	0	3	2
hsa-miR-6720-3p	181	143	388	374
hsa-miR-6720-5p	613	558	3353	2524
hsa-miR-6721-5p	17	9	11	12
hsa-miR-6723-5p	35	73	31	43
hsa-miR-6724-5p	383	607	2717	1387
hsa-miR-6726-3p	22	16	23	8
hsa-miR-6726-5p	5	4	6	2
hsa-miR-6727-3p	1	7	0	3
hsa-miR-6727-5p	4	13	4	4
hsa-miR-6728-3p	17	10	15	17
hsa-miR-6728-5p	6	8	9	8
hsa-miR-6729-3p	16	9	11	7
hsa-miR-6729-5p	1	6	17	8
hsa-miR-6730-5p	0	3	4	2
hsa-miR-6731-3p	1	2	6	1
hsa-miR-6731-5p	1	1	5	2
hsa-miR-6732-3p	7	7	76	39
hsa-miR-6732-5p	3	0	26	8
hsa-miR-6733-3p	3	3	8	12
hsa-miR-6733-5p	11	9	12	12
hsa-miR-6734-3p	1	0	7	3
hsa-miR-6734-5p	9	14	46	22
hsa-miR-6735-3p	10	3	15	9
hsa-miR-6735-5p	7	2	13	6
hsa-miR-6736-3p	1	2	3	1
hsa-miR-6736-5p	3	6	7	3
hsa-miR-6737-3p	11	5	16	12
hsa-miR-6737-5p	1	1	15	2
hsa-miR-6738-3p	1	3	6	3
hsa-miR-6738-5p	0	0	4	0
hsa-miR-6739-3p	13	7	14	8
hsa-miR-6739-5p	1	1	1	3
hsa-miR-6740-3p	7	5	9	6
hsa-miR-6740-5p	0	2	7	2
hsa-miR-6741-3p	58	38	79	21
hsa-miR-6741-5p	33	27	16	11
hsa-miR-6742-3p	9	24	18	26
hsa-miR-6742-5p	9	10	14	19
hsa-miR-6743-3p	12	6	18	13
hsa-miR-6743-5p	7	3	2	5
hsa-miR-6745	0	1	5	1
hsa-miR-6746-3p	1	0	5	6
hsa-miR-6746-5p	1	0	6	14
hsa-miR-6747-3p	145	184	217	127
hsa-miR-6747-5p	2	4	6	3
hsa-miR-6748-3p	7	5	3	0
hsa-miR-6748-5p	0	1	0	1
hsa-miR-6749-3p	16	9	17	3
hsa-miR-6749-5p	0	1	0	0
hsa-miR-675-3p	2	4	2	2
hsa-miR-675-5p	29	22	7	16
hsa-miR-6750-3p	11	11	14	7
hsa-miR-6750-5p	1	0	2	2
hsa-miR-6751-3p	6	1	3	4
hsa-miR-6751-5p	3	4	13	8
hsa-miR-6752-3p	4	1	4	2
hsa-miR-6752-5p	2	0	1	0
hsa-miR-6753-3p	3	0	5	4
hsa-miR-6753-5p	0	0	2	3
hsa-miR-6754-3p	2	0	1	4
hsa-miR-6754-5p	2	5	2	2
hsa-miR-6755-3p	2	1	1	2
hsa-miR-6755-5p	4	7	6	8
hsa-miR-6756-3p	4	5	32	12
hsa-miR-6756-5p	0	0	8	6
hsa-miR-6757-3p	0	0	11	11
hsa-miR-6757-5p	1	0	5	9
hsa-miR-6758-3p	16	12	28	18
hsa-miR-6758-5p	1	2	11	8
hsa-miR-6759-3p	2	9	5	0
hsa-miR-6759-5p	6	6	9	14
hsa-miR-676-3p	338	363	5	7
hsa-miR-676-5p	45	31	1	1
hsa-miR-6760-3p	2	4	0	0
hsa-miR-6761-3p	1	1	2	0
hsa-miR-6761-5p	0	5	0	0
hsa-miR-6762-3p	6	12	45	29
hsa-miR-6762-5p	0	0	2	6
hsa-miR-6763-3p	9	8	30	9
hsa-miR-6763-5p	44	69	82	43
hsa-miR-6764-3p	6	12	11	6
hsa-miR-6764-5p	23	21	16	13
hsa-miR-6765-3p	17	29	79	41
hsa-miR-6765-5p	6	6	26	10
hsa-miR-6766-3p	6	10	15	16
hsa-miR-6766-5p	1	3	0	2
hsa-miR-6767-3p	2	0	0	1
hsa-miR-6767-5p	2	2	5	4
hsa-miR-6768-3p	5	2	0	15
hsa-miR-6768-5p	14	26	51	30
hsa-miR-6769a-3p	1	6	7	4
hsa-miR-6769a-5p	5	4	7	3
hsa-miR-6769b-3p	0	3	55	41
hsa-miR-6769b-5p	0	0	3	1
hsa-miR-6770-3p	5	12	7	4
hsa-miR-6770-5p	9	16	19	12
hsa-miR-6771-5p	0	0	3	4
hsa-miR-6772-3p	0	0	70	27
hsa-miR-6772-5p	0	0	6	1
hsa-miR-6773-3p	0	0	4	2
hsa-miR-6773-5p	0	0	3	2
hsa-miR-6774-3p	2	2	0	0
hsa-miR-6775-3p	28	30	320	207
hsa-miR-6775-5p	0	0	16	26
hsa-miR-6776-3p	7	4	7	7
hsa-miR-6776-5p	3	6	12	1
hsa-miR-6777-3p	31	30	173	132
hsa-miR-6777-5p	4	6	34	42
hsa-miR-6778-3p	1	1	0	1
hsa-miR-6778-5p	0	0	3	0
hsa-miR-6779-3p	0	0	6	0
hsa-miR-6779-5p	0	1	31	16
hsa-miR-6780a-3p	3	1	2	2
hsa-miR-6780a-5p	3	5	20	4
hsa-miR-6780b-3p	8	4	6	8
hsa-miR-6780b-5p	3	2	6	2
hsa-miR-6781-3p	18	3	17	11
hsa-miR-6781-5p	5	8	15	7
hsa-miR-6782-3p	0	0	10	3
hsa-miR-6782-5p	1	1	2	1
hsa-miR-6783-3p	24	36	37	42
hsa-miR-6783-5p	24	19	30	31
hsa-miR-6784-3p	5	3	25	26
hsa-miR-6784-5p	0	0	7	2
hsa-miR-6785-5p	2	8	10	8
hsa-miR-6786-3p	1	4	29	13
hsa-miR-6786-5p	5	4	7	8
hsa-miR-6787-3p	0	1	53	33
hsa-miR-6787-5p	0	0	3	1
hsa-miR-6788-3p	0	0	47	28
hsa-miR-6788-5p	0	0	27	22
hsa-miR-6789-3p	3	0	6	6
hsa-miR-6789-5p	22	19	58	49
hsa-miR-6790-3p	4	3	6	6
hsa-miR-6790-5p	0	0	5	5
hsa-miR-6791-3p	15	21	25	20
hsa-miR-6791-5p	8	13	4	7
hsa-miR-6792-3p	2	2	3	6
hsa-miR-6792-5p	0	3	2	0
hsa-miR-6793-3p	20	5	17	17
hsa-miR-6793-5p	9	14	27	23
hsa-miR-6794-3p	8	7	18	1
hsa-miR-6794-5p	6	2	3	3
hsa-miR-6795-3p	1	3	0	0
hsa-miR-6795-5p	1	2	0	0
hsa-miR-6796-3p	0	0	15	10
hsa-miR-6796-5p	0	0	4	6
hsa-miR-6797-3p	39	61	74	52
hsa-miR-6797-5p	1	5	15	9
hsa-miR-6798-3p	35	25	33	26
hsa-miR-6798-5p	1	4	5	3
hsa-miR-6799-3p	35	22	50	22
hsa-miR-6799-5p	26	20	50	11
hsa-miR-6800-3p	14	7	77	29
hsa-miR-6800-5p	3	3	7	5
hsa-miR-6801-3p	7	6	23	11
hsa-miR-6801-5p	4	2	13	2
hsa-miR-6802-3p	7	2	17	4
hsa-miR-6802-5p	13	11	14	8
hsa-miR-6803-3p	29	29	50	26
hsa-miR-6803-5p	0	0	2	1
hsa-miR-6804-3p	0	0	2	0
hsa-miR-6804-5p	7	17	28	19
hsa-miR-6805-3p	13	7	27	13
hsa-miR-6805-5p	9	14	72	45
hsa-miR-6806-3p	6	4	12	7
hsa-miR-6806-5p	0	2	0	0
hsa-miR-6807-3p	25	22	107	40
hsa-miR-6807-5p	21	18	72	46
hsa-miR-6808-3p	12	5	8	5
hsa-miR-6809-3p	0	0	1	0
hsa-miR-6809-5p	0	0	3	2
hsa-miR-6810-3p	1	4	14	3
hsa-miR-6810-5p	0	0	8	5
hsa-miR-6812-3p	23	24	61	28
hsa-miR-6812-5p	0	2	14	5
hsa-miR-6813-5p	5	7	11	5
hsa-miR-6814-3p	1	1	1	1
hsa-miR-6814-5p	0	0	0	1
hsa-miR-6815-3p	2	1	0	0
hsa-miR-6815-5p	1	4	1	0
hsa-miR-6816-3p	64	44	35	38
hsa-miR-6816-5p	14	18	4	2
hsa-miR-6817-3p	17	30	16	7
hsa-miR-6817-5p	0	7	2	5
hsa-miR-6818-3p	13	6	6	9
hsa-miR-6818-5p	3	3	6	1
hsa-miR-6819-3p	17	8	35	10
hsa-miR-6819-5p	2	1	11	2
hsa-miR-6820-3p	90	75	76	45
hsa-miR-6820-5p	51	79	46	35
hsa-miR-6821-3p	3	3	5	8
hsa-miR-6821-5p	7	5	53	15
hsa-miR-6822-3p	0	0	0	1
hsa-miR-6822-5p	2	0	3	3
hsa-miR-6823-3p	1	0	1	0
hsa-miR-6823-5p	1	0	3	1
hsa-miR-6824-3p	6	6	20	21
hsa-miR-6824-5p	0	0	13	2
hsa-miR-6825-3p	2	4	8	0
hsa-miR-6825-5p	4	11	32	16
hsa-miR-6826-3p	4	3	22	16
hsa-miR-6826-5p	4	5	0	0
hsa-miR-6827-3p	0	2	10	2
hsa-miR-6827-5p	0	2	10	10
hsa-miR-6828-5p	1	0	0	0
hsa-miR-6829-3p	1	0	1	2
hsa-miR-6829-5p	2	3	9	4
hsa-miR-6830-3p	4	0	3	0
hsa-miR-6831-3p	3	2	0	1
hsa-miR-6831-5p	1	1	2	0
hsa-miR-6832-3p	10	14	16	10
hsa-miR-6832-5p	5	4	14	13
hsa-miR-6833-3p	4	9	12	8
hsa-miR-6833-5p	0	1	0	1
hsa-miR-6834-3p	4	1	13	8
hsa-miR-6834-5p	0	0	20	9
hsa-miR-6835-3p	0	2	2	2
hsa-miR-6835-5p	0	1	3	2
hsa-miR-6836-3p	2	3	0	0
hsa-miR-6836-5p	5	4	4	3
hsa-miR-6837-3p	1	7	10	4
hsa-miR-6837-5p	0	4	3	4
hsa-miR-6838-3p	5	7	5	6
hsa-miR-6838-5p	1	2	5	4
hsa-miR-6839-5p	2	2	1	0
hsa-miR-6840-3p	7	8	16	21
hsa-miR-6840-5p	8	8	52	35
hsa-miR-6841-5p	0	1	0	0
hsa-miR-6842-3p	3	7	7	3
hsa-miR-6842-5p	0	0	0	1
hsa-miR-6844	52	60	45	59
hsa-miR-6845-3p	3	1	10	2
hsa-miR-6845-5p	0	0	0	1
hsa-miR-6846-3p	0	0	27	22
hsa-miR-6846-5p	0	0	20	10
hsa-miR-6847-3p	3	5	7	11
hsa-miR-6847-5p	5	20	16	11
hsa-miR-6848-3p	1	1	1	3
hsa-miR-6848-5p	8	12	23	14
hsa-miR-6849-3p	1	1	11	3
hsa-miR-6849-5p	0	0	0	1
hsa-miR-6850-3p	5	7	190	47
hsa-miR-6850-5p	8	7	651	291
hsa-miR-6851-3p	3	2	6	2
hsa-miR-6851-5p	13	12	48	24
hsa-miR-6852-3p	0	0	1	1
hsa-miR-6852-5p	5	3	9	9
hsa-miR-6853-3p	1	4	9	2
hsa-miR-6853-5p	2	0	0	0
hsa-miR-6854-3p	1	2	0	3
hsa-miR-6854-5p	1	0	4	2
hsa-miR-6855-3p	6	3	13	10
hsa-miR-6855-5p	3	1	3	2
hsa-miR-6856-3p	2	7	3	8
hsa-miR-6856-5p	2	1	3	0
hsa-miR-6857-3p	21	29	24	9
hsa-miR-6857-5p	6	12	4	4
hsa-miR-6858-3p	6	5	18	3
hsa-miR-6858-5p	18	13	41	9
hsa-miR-6859-3p	2	6	9	6
hsa-miR-6859-5p	3	2	7	10
hsa-miR-6860	0	0	31	21
hsa-miR-6861-3p	6	3	2	3
hsa-miR-6861-5p	1	2	1	2
hsa-miR-6862-3p	12	5	23	14
hsa-miR-6862-5p	16	10	38	29
hsa-miR-6864-3p	1	0	0	0
hsa-miR-6864-5p	0	1	0	1
hsa-miR-6865-3p	2	0	1	0
hsa-miR-6865-5p	2	4	7	3
hsa-miR-6866-3p	10	2	12	10
hsa-miR-6866-5p	3	11	17	17
hsa-miR-6867-5p	0	0	2	1
hsa-miR-6868-3p	11	9	9	6
hsa-miR-6869-3p	4	4	0	1
hsa-miR-6869-5p	23	14	26	17
hsa-miR-6870-3p	1	0	5	2
hsa-miR-6870-5p	0	0	2	0
hsa-miR-6871-3p	2	2	1	2
hsa-miR-6871-5p	4	3	11	2
hsa-miR-6872-3p	0	0	13	9
hsa-miR-6872-5p	0	0	8	8
hsa-miR-6873-3p	16	14	21	14
hsa-miR-6873-5p	5	5	3	1
hsa-miR-6874-3p	5	6	3	9
hsa-miR-6874-5p	1	1	1	0
hsa-miR-6875-3p	1	0	23	4
hsa-miR-6875-5p	0	2	15	8
hsa-miR-6876-3p	0	0	1	2
hsa-miR-6876-5p	1	0	10	3
hsa-miR-6877-3p	2	5	19	2
hsa-miR-6877-5p	37	28	47	58
hsa-miR-6878-3p	1	0	0	3
hsa-miR-6878-5p	0	3	0	4
hsa-miR-6879-3p	2	3	8	1
hsa-miR-6879-5p	0	0	2	0
hsa-miR-6880-3p	2	0	7	4
hsa-miR-6880-5p	1	4	6	0
hsa-miR-6881-3p	7	1	18	27
hsa-miR-6881-5p	0	0	6	3
hsa-miR-6882-3p	5	3	13	5
hsa-miR-6882-5p	16	16	13	14
hsa-miR-6883-3p	2	4	5	5
hsa-miR-6883-5p	0	0	0	1
hsa-miR-6884-3p	2	0	8	6
hsa-miR-6884-5p	0	3	7	8
hsa-miR-6885-3p	17	25	14	6
hsa-miR-6885-5p	5	11	9	7
hsa-miR-6886-3p	13	3	86	18
hsa-miR-6886-5p	26	29	93	132
hsa-miR-6888-3p	0	3	4	3
hsa-miR-6888-5p	0	1	0	1
hsa-miR-6889-3p	10	6	12	5
hsa-miR-6889-5p	25	17	21	20
hsa-miR-6890-3p	0	0	7	4
hsa-miR-6890-5p	3	1	14	4
hsa-miR-6891-3p	0	3	0	0
hsa-miR-6891-5p	3	5	17	6
hsa-miR-6892-3p	1	2	12	1
hsa-miR-6892-5p	0	0	4	2
hsa-miR-6893-3p	6	1	6	1
hsa-miR-6893-5p	2	1	9	3
hsa-miR-6894-3p	6	5	15	3
hsa-miR-6894-5p	6	5	1	7
hsa-miR-6895-3p	14	19	15	8
hsa-miR-6895-5p	3	1	2	0
hsa-miR-7-1-3p	2784	2430	2554	2077
hsa-miR-7-2-3p	2	2	3	3
hsa-miR-7-5p	138273	149240	88381	108120
hsa-miR-708-3p	428	347	0	1
hsa-miR-708-5p	2852	1556	0	2
hsa-miR-7106-3p	2	1	8	2
hsa-miR-7106-5p	3	12	20	5
hsa-miR-7107-3p	0	1	0	0
hsa-miR-7107-5p	0	0	8	6
hsa-miR-7108-3p	4	3	5	2
hsa-miR-7108-5p	46	55	124	53
hsa-miR-7109-3p	1	3	8	4
hsa-miR-7109-5p	8	12	12	11
hsa-miR-7110-3p	20	17	52	16
hsa-miR-7110-5p	2	2	7	2
hsa-miR-7111-3p	139	121	230	99
hsa-miR-7111-5p	13	11	43	15
hsa-miR-7112-3p	4	4	17	6
hsa-miR-7112-5p	10	5	4	10
hsa-miR-7113-3p	2	2	8	4
hsa-miR-7113-5p	9	7	15	13
hsa-miR-7114-3p	10	5	11	0
hsa-miR-7114-5p	16	12	32	12
hsa-miR-7151-3p	1	1	0	0
hsa-miR-7151-5p	0	0	0	1
hsa-miR-7152-3p	0	1	0	0
hsa-miR-7155-3p	1	0	8	7
hsa-miR-7155-5p	2	8	13	13
hsa-miR-7156-3p	3	3	0	0
hsa-miR-7156-5p	4	4	0	0
hsa-miR-7157-3p	2	0	0	0
hsa-miR-7160-3p	1	0	0	0
hsa-miR-7160-5p	1	0	0	0
hsa-miR-718	2	2	0	0
hsa-miR-744-3p	361	368	401	406
hsa-miR-744-5p	20826	24667	23758	26850
hsa-miR-758-3p	1	1	0	0
hsa-miR-758-5p	0	0	0	1
hsa-miR-760	1494	1460	4879	2176
hsa-miR-7641	24	49	74	81
hsa-miR-765	5	7	10	11
hsa-miR-766-3p	606	415	884	526
hsa-miR-766-5p	125	186	323	308
hsa-miR-767-3p	0	0	769	528
hsa-miR-767-5p	7	1	7136	7709
hsa-miR-769-3p	1530	2645	3563	4279
hsa-miR-769-5p	5732	9292	5620	11747
hsa-miR-7702	0	0	4	0
hsa-miR-7703	5	3	18	7
hsa-miR-7704	2	4	3	1
hsa-miR-7705	8	7	95	40
hsa-miR-7706	989	811	1646	1013
hsa-miR-7845-5p	16	19	10	13
hsa-miR-7850-5p	1	0	1	1
hsa-miR-7851-3p	71	92	22	80
hsa-miR-7852-3p	0	3	0	0
hsa-miR-7854-3p	54	57	83	66
hsa-miR-7974	1164	1960	2880	2568
hsa-miR-7976	199	228	214	126
hsa-miR-7977	2	0	1	0
hsa-miR-8072	23	8	43	20
hsa-miR-8078	0	2	0	0
hsa-miR-873-3p	5	5	413	441
hsa-miR-873-5p	74	15	1088	1255
hsa-miR-874-3p	212	432	480	290
hsa-miR-874-5p	18	31	54	31
hsa-miR-875-5p	0	0	1	0
hsa-miR-876-3p	4	0	132	135
hsa-miR-876-5p	30	5	279	656
hsa-miR-877-3p	438	395	887	427
hsa-miR-877-5p	2342	3036	18652	8001
hsa-miR-885-3p	0	1	0	0
hsa-miR-885-5p	6	9	2	2
hsa-miR-887-3p	43	37	6	0
hsa-miR-887-5p	1	0	0	0
hsa-miR-888-5p	4	12	2	2
hsa-miR-889-3p	1	0	0	2
hsa-miR-890	0	2	0	0
hsa-miR-891a-3p	1	0	0	0
hsa-miR-891a-5p	16	42	12	1
hsa-miR-891b	2	10	2	0
hsa-miR-892a	6	1	0	1
hsa-miR-892b	3	4	0	0
hsa-miR-892c-3p	0	2	0	0
hsa-miR-9-3p	5193	4034	66	22
hsa-miR-9-5p	21440	21878	101	101
hsa-miR-92a-1-5p	8286	8653	4483	1870
hsa-miR-92a-3p	1380619	1562051	1019589	603650
hsa-miR-92b-3p	23304	21723	100684	44792
hsa-miR-92b-5p	770	1066	4096	2762
hsa-miR-93-3p	5736	8957	10929	7487
hsa-miR-93-5p	239266	268342	69136	224690
hsa-miR-933	35	28	56	47
hsa-miR-934	7	9	2	7
hsa-miR-935	70	3	823	349
hsa-miR-937-3p	80	111	203	99
hsa-miR-937-5p	21	27	52	29
hsa-miR-938	0	4	1	3
hsa-miR-939-3p	20	28	24	24
hsa-miR-939-5p	52	129	153	125
hsa-miR-940	1306	1105	1197	948
hsa-miR-941	3818	3944	8411	5394
hsa-miR-942-3p	119	130	131	88
hsa-miR-942-5p	2810	3267	3293	2318
hsa-miR-943	11	18	6	16
hsa-miR-944	1	0	1	2
hsa-miR-95-3p	668	670	395	437
hsa-miR-95-5p	11	16	6	14
hsa-miR-96-3p	62	45	39	68
hsa-miR-96-5p	1578	1276	5550	3040
hsa-miR-98-3p	55	35	713	1301
hsa-miR-98-5p	1934	1003	28491	55827
hsa-miR-99a-3p	185	283	297	1230
hsa-miR-99a-5p	4201	5269	21442	27064
hsa-miR-99b-3p	1071	1733	4187	7041
hsa-miR-99b-5p	15609	20805	91905	86285
